experiment,params,mean_train_accuracy,std_train_accuracy,mean_validation_accuracy,std_validation_accuracy,generalization_gap,rank_validation_accuracy,mean_fit_time_seconds
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.003, 'selector__k': 40}",0.7598171477863146,0.010933176218557479,0.6488510844150609,0.033291909725895824,0.1109660633712537,85,0.02705211639404297
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.03, 'selector__k': 20}",0.9153980019659371,0.004107779592054319,0.6425300330565185,0.037188661847835425,0.27286796890941867,86,0.022886371612548827
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.001, 'selector__k': 'all'}",0.7357414391462216,0.005876550901205267,0.6400467628799483,0.01768773258186191,0.09569467626627326,87,0.03219513893127442
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 0.003, 'selector__k': 'all'}",0.7373242191418082,0.006583923745138122,0.6387890026606466,0.014812940663388514,0.09853521648116159,88,0.031214427947998048
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 'scale', 'selector__k': 20}",0.8824429777929346,0.005764067033868654,0.6387325647020881,0.038700252291062456,0.2437104130908465,89,0.027875995635986327
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.01, 'selector__k': 20}",0.9388443098156433,0.006247243993626335,0.6387245021365799,0.03510689890131934,0.3001198076790633,90,0.028720521926879884
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.01, 'selector__k': 20}",0.8510717366446668,0.009156252487204255,0.6361847940014512,0.04194728523486237,0.21488694264321562,91,0.027107906341552735
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.003, 'selector__k': 20}",0.8006900840538427,0.011596395426960391,0.6361606063049263,0.042033345338243884,0.16452947774891635,92,0.023540353775024413
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 'scale', 'selector__k': 20}",0.9717978294449237,0.004645815764509882,0.6337095863903894,0.029286356676678157,0.3380882430545342,93,0.0331474781036377
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.03, 'selector__k': 20}",0.8165339324760778,0.009632193723069301,0.6273159719422721,0.03312913367131071,0.18921796053380568,94,0.02568340301513672
